332317478170546176	"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"
347806215776116737	"@ashleylvivian if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs"
350336129817509888	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."
332540699692130304	pt of mine died from cipro rt @ciproispoison: @gastromom if only more doctors thought like you! i lost my entire life to 12 cipro pills
332542581760204800	@gastromom The only pt of mine who ever died was one age 21 profound autism chronic underwt & GI issues, given lots of Cipro. Terrible
343944308828811264	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.
348644040444637184	@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.
352217412046823425	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?
332457841749286913	@Enlightenmentor Umm, are you being a smart-ass? Dont mess with me right now. Going through Cymbalta withdrawal I think & Im VERY depressed.
341552558369800192	today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.
341555493409542144	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps
341689297503662080	that nap was on point.... cymbalta did that shit cuz i dont take naps...ever
341767297649766400	@andiedanley2626 cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!
354228220431843328	@santypas @scrabalisios i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed
332556333704413184	note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions
341311579536650240	I'm sure this fluoxetine is making my illness worse, especially since I can't eat..
353079130692124672	"rt @ianibbo: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic '"
336988171973824512	i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.
340627449496887296	so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.
344346660530434048	@thestomabaglady it was explained to me that all the anti-tnfs can bring out other issues. i had severe joint pain on humira &amp; remicaid
344942366387494912	@renegade_snare @ibdtweet i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions
346087419424169984	The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum
346096906985938945	"rt @smbell1: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh'"
350691733987799040	humira + thioguanine + preds = me have no immune lol.. thankgod i on anti biotics for a bit... then preds drop off #crohns
351399799750279168	anyone have nerve damage symptoms (ms like) from enbrel or humira? #rheum
344127080918827008	"well. i abruptly stopped taking lamotrigine (lamictal), and that is why i am having the pain and weakness. possible seizure. oops."
345607804171743233	So while I'm letting the thoughts of Lamictal/fatal rashes/tonsillectomy/spinal tap settle, I'm going to go rescue a budgie.
349086151249903617	oh... oh my hair is... definitely falling out. ._. i just noticed it starting tonight. google tells me other people on lamictal have this.
330466694189428737	"@kierarampton it's called lamotrigine, i'm pretty sure the mix of them both is making me sick. i don't think bipolar &amp; add mix very well.."
345333265089048577	what is this weird feeling i've been having all day? i've felt depressed yet oddly happy. this is the second day of bid #lamotrigine
351285012047470592	@OUCH_UK didnt know Lamotrigine was addictive Stopped as didnt think were helping @clusterheads 3 days of hell before realized, back on now
344848831646670848	"@midwesternwife i feel your pain, im allergic to penicillin, ammoxicillin, levaquin, doxycycline. it sucks"
330457675445968896	"@wee_jendo nicotine lozenges. if i go cold turkey i can't think (or see) straight, so i can't work."
351412839447146496	he said he is 'slowly dying of starvation'. i don't want to be the one to say stop taking the aricept and namenda...
327835368164573186	@sophiemonk coz olanzapine increases hunger strains u all day dosile unless u get up when ur accilies still wud n coffee 5am fog frost
330154444459241472	@river__tam olanzapine is amazing srsly, the dreams are immense, no addiction, its gorgeous, like brave new world soma to me
332497216080052224	olanzapine is supposed to make you a fat bastard i got off lucky. lithium makes my hand shake. bipolar or schizo drugs.
340983454554546176	"@christal_l that's the problem with most of them - side effects. i was on paxil after my mom died and ""it"" stopped working. fuck that."
