332317478170546176	ADE	28	37	allergies
347806215776116737	ADE	31	46	HURT YOUR Liver
350336129817509888	ADE	48	50	AD
350336129817509888	ADE	88	93	focus
332540699692130304	ADE	11	15	died
332542581760204800	ADE	40	44	died
343944308828811264	ADE	66	79	tendon damage
348644040444637184	ADE	26	32	dreams
352217412046823425	ADE	84	98	tendon rupture
332457841749286913	ADE	101	111	withdrawal
341552558369800192	ADE	13	27	emotional mess
341555493409542144	ADE	17	29	not remember
341555493409542144	ADE	84	96	memory lapse
341689297503662080	ADE	5	8	nap
341767297649766400	ADE	71	82	psychedelic
354228220431843328	ADE	94	100	mashed
332556333704413184	ADE	66	77	space cadet
341311579536650240	ADE	38	51	illness worse
341311579536650240	ADE	72	81	can't eat
353079130692124672	ADE	30	38	allergic
336988171973824512	ADE	127	138	withdrawals
340627449496887296	ADE	41	47	hungry
344346660530434048	ADE	104	114	joint pain
344942366387494912	ADE	61	68	fistula
344942366387494912	ADE	123	140	painful reactions
346087419424169984	ADE	98	105	fatigue
346087419424169984	ADE	113	117	achy
346096906985938945	ADE	112	119	fatigue
346096906985938945	ADE	127	131	achy
350691733987799040	ADE	39	48	no immune
351399799750279168	ADE	12	24	nerve damage
351399799750279168	ADE	35	42	MS like
344127080918827008	ADE	89	93	pain
344127080918827008	ADE	98	106	weakness
344127080918827008	ADE	117	124	seizure
345607804171743233	ADE	52	58	rashes
349086151249903617	ADE	12	45	hair is... definitely falling out
330466694189428737	ADE	90	94	sick
345333265089048577	ADE	63	72	depressed
351285012047470592	ADE	36	45	addictive
351285012047470592	ADE	83	95	clusterheads
351285012047470592	ADE	98	110	days of hell
344848831646670848	ADE	38	46	allergic
330457675445968896	ADE	53	64	can't think
330457675445968896	ADE	69	82	see) straight
351412839447146496	ADE	31	41	starvation
327835368164573186	ADE	27	43	increases hunger
330154444459241472	ADE	45	51	dreams
332497216080052224	ADE	37	40	fat
332497216080052224	ADE	83	93	hand shake
340983454554546176	ADE	110	125	stopped working
346275392090423296	ADE	91	119	Getting out of bed is haaard
347746008903581696	ADE	3	25	creativity was blocked
351423946706526209	ADE	43	46	w/d
331146154786041856	ADE	36	42	drowsy
331146154786041856	ADE	43	47	haze
343602068067581952	ADE	64	74	brain zaps
343602068067581952	ADE	90	110	genitals aren't numb
347713864009408513	ADE	102	107	detox
340535092873162752	ADE	24	37	facial spasms
