332317478170546176	ADE	28	37	allergies	10013661
347806215776116737	ADE	31	46	HURT YOUR Liver	10024668
350336129817509888	ADE	48	50	AD	10003731
350336129817509888	ADE	88	93	focus	10003738
332540699692130304	ADE	11	15	died	10011906
332542581760204800	ADE	40	44	died	10011906
343944308828811264	ADE	66	79	tendon damage	10043242
348644040444637184	ADE	26	32	dreams	10004969
352217412046823425	ADE	84	98	tendon rupture	10043248
332457841749286913	ADE	101	111	withdrawal	10048010
341552558369800192	ADE	13	27	emotional mess	10049119
341555493409542144	ADE	17	29	not remember	10027176
341555493409542144	ADE	84	96	memory lapse	10027174
341689297503662080	ADE	5	8	nap	10041349
341767297649766400	ADE	71	82	psychedelic	10070679
354228220431843328	ADE	94	100	mashed	10070679
332556333704413184	ADE	66	77	space cadet	10041374
341311579536650240	ADE	38	51	illness worse	10021345
341311579536650240	ADE	72	81	can't eat	10003030
353079130692124672	ADE	30	38	allergic	10013661
336988171973824512	ADE	127	138	withdrawals	10048010
340627449496887296	ADE	41	47	hungry	10016336
344346660530434048	ADE	104	114	joint pain	10023222
344942366387494912	ADE	61	68	fistula	10016717
344942366387494912	ADE	123	140	painful reactions	10033371
346087419424169984	ADE	98	105	fatigue	10016256
346087419424169984	ADE	113	117	achy	10000424
346096906985938945	ADE	112	119	fatigue	10016256
346096906985938945	ADE	127	131	achy	10000424
350691733987799040	ADE	39	48	no immune	10021425
351399799750279168	ADE	12	24	nerve damage	10029177
351399799750279168	ADE	35	42	MS like	10028055
344127080918827008	ADE	89	93	pain	10033371
344127080918827008	ADE	98	106	weakness	10047862
344127080918827008	ADE	117	124	seizure	10039906
345607804171743233	ADE	52	58	rashes	10062948
349086151249903617	ADE	12	45	hair is... definitely falling out	10019045
330466694189428737	ADE	90	94	sick	10016365
345333265089048577	ADE	63	72	depressed	10012374
351285012047470592	ADE	36	45	addictive	10012336
351285012047470592	ADE	83	95	clusterheads	10059133
351285012047470592	ADE	98	110	days of hell	10016370
344848831646670848	ADE	38	46	allergic	10013661
330457675445968896	ADE	53	64	can't think	10043436
330457675445968896	ADE	69	82	see) straight	10047508
351412839447146496	ADE	31	41	starvation	10003030
