340275016333684736	knowledge is power!levaquin antibiotic interacts with the medication seroquel and can cause heart arrthymias.learnt something new today yes!	NoADE
349415675556667392	methylpred, glatiramer acetate, interferon alpha n beta, baclofen, natalizumab...what am i thinking?	NoADE
342091528799395840	@fmab_pride @crazykidwrath_ // .... cymbalta can help.	NoADE
536298734997741569	@rossbalham I don't think Imodium works . Full stop. #allegedly	NoADE
326749581171912704	@EvilGalProds Meanwhile, all I get is flavorless gelatin lamotrigine. Fuck. This. @mightybattlecat	NoADE
536113375085068288	Does Imodium treat fat tummy?	NoADE
463069285792104450	latest in pharmapoetics: Victoza	NoADE
468021254364987392	I need Temazepam and alprazolam.... Is there any doctor can prescribe for me?? :/	NoADE
489506737540435969	$1 million idea: Load Advair into an e-cig so you can just casually vape during an asthma attack. Bye bye wheezing, hello looking cool!	NoADE
333297273750564864	seroquel aka wake up at 2:30 and waste half your day sleeping.	ADE
345013077290409984	i love getting drugged up at institutions. they'd give me my prescribed 200mg of seroquel and 2 capsules of benadryl, haha it was the shit.	NoADE
342101685344296961	Idk wtf #Humira is but basically if you take it you're going to die	NoADE
515516170586554368	Bitches b suckin dick for half of a suboxone strip	NoADE
528372558437941248	Ventolin and Inderal is not a good combination okay! How would I know if my heart's the problem or my lungs? WTH.	NoADE
345689826332393472	thankfully i can come off my lamictal in 3 days. tapering isn't as slow is titration	NoADE
375778230135169024	@jessannw @spiveychristy why would they call it latuda 🙈🙊🙈🙊🙈🙊	NoADE
357650789839282176	maybe once i get regular on saphris again it will help w that anxiety. whew its not easy. how do people be around ppl and not freak out?	NoADE
538542235978309632	NEXIUM SIGN! WE HAVE NEXIUM SIGN! #znation	NoADE
533873373265559552	@jcrewandmeth take imodium before drinking so your tummy doesn't get upset	NoADE
340295791841247232	Sleep and nicotine deprived. Kill me?	NoADE
340283250738077697	Caffeine and nicotine are guna make me finish this paper	NoADE
353158902520619010	i have been on lorazepam / diazepam / quetiapine for the past few nights and i've noticed i am slightly drooling a bit. lovely.	ADE
462962055293976577	"for two really ugly failures in that arena, look at thalidomide and the nova tv special, ""the case of the frozen addicts"" @aperfectbalance"	NoADE
458696671434932225	pfizer agrees to 190 million neurontin settlement why dont you go home to whore island with pfrice pfister pfearless pfaucet	NoADE
379277459533070337	Have you been given the tysabri patient alert card ?	NoADE
467941256337698816	@donkey_ot @k_livingproof cipramil, pristiq &amp; allegron were the ones i was on for the longest. then xanax at a low dose as needed.	NoADE
341044747533709313	i need a fucking cymbalta	NoADE
347122423646277632	@Livaloo22 awwwww livalo so sweet <3 you 2	NoADE
348854778706677760	@livingwithpsa arava. mtx quit working so this is next stop before humira.	NoADE
350547781091459072	2/2 blood tests scheduled. BP normal Now have own coaguckek machine. Still aches and pains, legs better. Taking codeine rivaroxaban losartan	ADE
515910161878495233	@mattglasell no joke there was an ad for suboxone on a gaming site the other day (the drug they addict you to to unaddict you to opiates)	NoADE
526382403393441793	@TheNewImpostor I thought methadone and buprenorphine were on that list.	NoADE
347051659765088256	*pats @karibear09 on theback* U OK there? *hands her a lozenge* #PaymentReceivedInFull @litlsistr @JayRyan @SchJanet @colon_damaris	NoADE
511287205181267969	@dnglos @NealRoff @whipitup69 @JoLincoln2 @FergusMason1 so Varenicline 35% success? Suppose is a bit more diff to smoke after u top yourself	NoADE
494889940493168640	Trading in my IUD for the NuvaRing	NoADE
461654593873932288	"Don't take prolia if you are allergic to it" NO FUCKING SHIT THNK U SO MUCH MOST INFORMATIVE COMMERCIAL I HAVE EVER SEEN	NoADE
344664560889888769	vyvanse n studying all day tomorrow though	NoADE
491779057034334208	@kgorgei @RealityTVBites_ exactly. You can't see asthma on an X-ray and anyone actually with asthma knows this. Advair is a steroid inhaler	NoADE
331553523768627200	Lol @ this crack head that's acting like she's afraid to take Trazodone.	NoADE
348680045889454080	My midnight snack consists of 40mg Pantoprazole, 40mg Paroxetine, 0.5mg Clonazapam, and 400mcg Beclo-Aqueous. And sometimes cheesies.	NoADE
537341217961701376	@merck is an improved vioxx in the market now under a new name?	NoADE
340556385634906112	The D "@foodFIRST_: Bananas contain a natural chemical that can make a person happy - The same chemical found in Prozac."	NoADE
487043434696679424	According to this Enbrel commercial, Phil Mickelson has changed his name to PhilMickelsonProGolfer,	NoADE
342363350317015040	@lauhilliard @MuyiwaOmole it's not that private, i called her lozza and then that changed into lozenge	NoADE
522747684290306048	$PFE: It's time to un-ring the alarm bell on varenicline (#Chantix)   #smoking #FDA #PDAC #DSaRM #pharma	NoADE
496417940711809025	@seahawks #ninerempire &amp; all the #ninerfaithful r gunna get in that 🔙🔚real🔜 &amp; wen ur back end is full we gunna rip @rsherman_25 nuvaring out	NoADE
336967801380151297	lol he won't sell is cause he doesn't know the universal name for seroquel so he thinks buys wont know.	NoADE
344592322245324800	@anorexic0 @ewdustin -generic drugs as effective as amgen's enbrel for arthritis- @fiinging -: a blockbuster drug made b...  @jesusislana	NoADE
333009316506386432	@mormolyke in my work... i've never heard good things about wellbutrin. i see more cymbalta being used. you're not on a combo?	NoADE
340858275916570624	nothing makes me want to strangle someone more than the sound of them sucking on a goddamn lozenge	NoADE
330907035698872321	Oral regimens for pyelonephritis: *Ciprofloxacin *Levofloxacin *TMP/SMZ  Do NOT NOTuse Nitrofurantoin or fosfomycin for pyelo(only cystitis)	NoADE
331868658991239168	Two antidepressants - mirtazapine and fluoxetine - have been linked to a significantly increased risk for Clostridium difficile infection..	NoADE
509714765208616960	@JordiGraupera @vedellconsagrat crestor challenge, round 1	NoADE
466424633873682432	latuda is one fucked up drug	NoADE
376964674761158656	@jenniferdcross wow that's crazy! They told u it's nothing to worry about?  never been on remicade. on humira had some dumb side effects tho	NoADE
463664731279347713	He had two pubs, both awful shmall places.   The lads used to call them the thalidomide arms.	NoADE
347158294755950592	The Men's Warehouse guy needs a throat lozenge.	NoADE
505860093020479488	@PinkleQueen Yeah, old doc decided to give him Singulair, Advair and something new which I view as a fucking bandaid to his probs.	NoADE
343837276377321473	mason has been a little more anxious and moody lately.  his dr and i agreed to increase his dosage. currently on prozac,lamictal and abilify	NoADE
468407769826349056	If there is anyone out there who is on Byetta for diabetes, I have 2 new pens to give away... It didnt work for me and I'm back on Victoza	NoADE
351272160846807041	@tangerinetw  mcevoy j. p., et al. lurasidone  a randomized, 6-week, open-label study. j clin psychiatry 2013 #switch non mi convince! no!	NoADE
342787990747230211	oh hello seroquel old friend i mi*passes out on bed*	ADE
350757367014621185	Is it hot in here or am I just depressed? FDA just approved an antidepressant--Paxil-- for hot flashes. See my story: http://www.latimes.com/news/science/sciencenow/la-sci-fda-antidepressant-hot-flashes-20130628,0,7638740.story …	NoADE
450376964558176256	getting along with rob and that geodon sent me on a bit of a downward spiral. i was find until weber human gave me geodon. funny they notice	NoADE
351635820056289281	ooh me too! rt @xyle50ul: #schizophrenia #seroquel did not suit me at all. had severe tremors and weight gain.	ADE
340519621419466753	@justbreatheweed i'm on it. it takes about 2 weeks, but weed screws up the process prozac helping the anxiety	NoADE
499896537997406208	@sitbones u don't take daily pills w ra. u take weekly doses of methotrexate and/or enbrel shots. right now i'm on nothing.  eating better	NoADE
343176936295649281	Im in the audience in this Prolia commercial with Blythe Danner. They changed the name of the drug like 3x. #whatwouldyoudo	NoADE
344584680806428672	rt @royalwjohnson: generic drugs as effective as amgen's enbrel for arthritis: a blockbuster drug made by amgen is no more effect... http:/'	NoADE
529906718940348417	Hmmm RT"@alexandrejevic: Some people find Diclofenac good for period pains but I wouldn't recommend it at all."	NoADE
342436103241994240	@Joanne__Howe Happy to hear migraine is gone, sorry about the knees. Hope you get healed and back in the Enbrel soon sleep well.	NoADE
341981341199515649	if alex jones turns out to be right, i'm going to take prozac and off myself.	NoADE
467227002702147584	@Alanw47 Crestor statins Astra Zenicas best seller. Might push the valuation up a bit? Nah, you are right, they wouldn't do that.	NoADE
341604090536669184	Cymbalta den got my Aim Steady Den a Mf! I'm thinking about rainbows &marriage.. Nd horses & being a statue.... Cuz I's still in de woods!!	NoADE
340282292054401024	need nicotine:O	NoADE
